 V1-form,i1-form,V1-set,i1-set
8.92,0.0005,-0.88,-0.00016352
8.94,0.00050004,-0.9,-0.00017276
8.96,0.00050004,-0.92,-0.00016836
8.98,0.0005,-0.94,-0.00017138
9,0.00050002,-0.96,-0.00017872
9.02,0.0005,-0.98,-0.00019864
9.04,0.00050002,-1,-0.00013702
9.06,0.00050002,-1.02,-0.00011856
9.08,0.00050004,-1.04,-0.00012762
9.1,0.00050002,-1.06,-0.00012608
9.12,0.00050002,-1.08,-0.0001329
9.14,0.00050004,-1.1,-0.00020962
9.16,0.00050002,-1.12,-0.00019582
9.18,0.00050004,-1.14,-0.00021072
9.2,0.00050004,-1.16,-0.00017638
9.22,0.0005,-1.18,-0.00018918
9.24,0.00050002,-1.2,-0.00019082
9.26,0.00050002,-1.22,-0.00021018
9.28,0.0005,-1.24,-0.00017004
9.3,0.00050002,-1.26,-0.00016724
9.32,0.00050004,-1.28,-0.0001703
9.34,0.0005,-1.3,-0.00013758
9.36,0.00050002,-1.32,-0.00015452
9.38,0.00050002,-1.34,-0.00012788
9.4,0.0005,-1.36,-0.00011576
9.42,0.00050004,-1.38,-0.00011092
9.44,0.00050004,-1.4,-0.00011756
9.46,0.00050002,-1.42,-0.0001182
9.48,0.00050004,-1.44,-0.00012284
9.5,0.00050002,-1.46,-0.00013108
9.52,0.00050004,-1.48,-0.00012802
9.54,0.00050004,-1.5,-0.00013606
9.56,0.00050002,-1.52,-0.0001338
9.58,0.00050002,-1.54,-0.00013908
9.6,0.00050002,-1.56,-0.00015396
9.62,0.0005,-1.58,-9.34E-05
9.64,0.00050002,-1.6,-9.21E-05
9.66,0.0005,-1.62,-9.31E-05
9.68,0.00050004,-1.64,-9.70E-05
9.7,0.00050002,-1.66,-9.97E-05
9.72,0.00050002,-1.68,-0.00011742
9.74,0.00050004,-1.7,-0.00012596
9.76,0.00050004,-1.72,-0.00012284
9.78,0.0005,-1.74,-0.00010992
9.8,0.00050004,-1.76,-0.00010896
9.82,0.00050002,-1.78,-0.00011156
9.84,0.00050002,-1.8,-0.00011834
9.86,0.00050002,-1.82,-0.00012618
9.88,0.0005,-1.84,-0.00012222
9.9,0.00050004,-1.86,-0.0001306
9.92,0.0005,-1.88,-0.00012338
9.94,0.00050004,-1.9,-0.00013632
9.96,0.00050004,-1.92,-0.00013918
9.98,0.00050002,-1.94,-0.0001365
10,0.00050002,-1.96,-0.0001475
10,0.0005,-1.98,-0.00014262
9.98,0.0005,-2,-0.00012024
9.96,0.00050004,-2,-0.00011858
9.94,0.0005,-1.98,-0.00012944
9.92,0.00050006,-1.96,-0.0001253
9.9,0.00050004,-1.94,-0.00011338
9.88,0.00050002,-1.92,-0.00011474
9.86,0.00050004,-1.9,-0.0001081
9.84,0.0005,-1.88,-0.00010822
9.82,0.00050004,-1.86,-0.00010578
9.8,0.00050002,-1.84,-0.0001004
9.78,0.00050004,-1.82,-9.82E-05
9.76,0.00050004,-1.8,-9.63E-05
9.74,0.0005,-1.78,-9.40E-05
9.72,0.00050004,-1.76,-9.21E-05
9.7,0.00050002,-1.74,-8.96E-05
9.68,0.00050004,-1.72,-8.74E-05
9.66,0.00050004,-1.7,-8.55E-05
9.64,0.00050006,-1.68,-8.38E-05
9.62,0.00050004,-1.66,-8.16E-05
9.6,0.00050002,-1.64,-7.96E-05
9.58,0.0005,-1.62,-7.67E-05
9.56,0.0005,-1.6,-7.51E-05
9.54,0.00050004,-1.58,-7.34E-05
9.52,0.0005,-1.56,-7.16E-05
9.5,0.0005,-1.54,-6.98E-05
9.48,0.00050004,-1.52,-6.85E-05
9.46,0.00050004,-1.5,-6.66E-05
9.44,0.00050004,-1.48,-6.45E-05
9.42,0.00050002,-1.46,-6.32E-05
9.4,0.00050002,-1.44,-6.10E-05
9.38,0.00050004,-1.42,-5.96E-05
9.36,0.00050002,-1.4,-5.82E-05
9.34,0.00050002,-1.38,-5.68E-05
9.32,0.0005,-1.36,-5.55E-05
9.3,0.00050002,-1.34,-5.42E-05
9.28,0.00050004,-1.32,-5.27E-05
9.26,0.0005,-1.3,-5.17E-05
9.24,0.00050006,-1.28,-5.00E-05
9.22,0.00050002,-1.26,-4.87E-05
9.2,0.0005,-1.24,-4.79E-05
9.18,0.0005,-1.22,-4.63E-05
9.16,0.00050002,-1.2,-4.50E-05
9.14,0.00050002,-1.18,-4.40E-05
9.12,0.00050004,-1.16,-4.28E-05
9.1,0.00050002,-1.14,-4.16E-05
9.08,0.0005,-1.12,-4.04E-05
9.06,0.00050004,-1.1,-3.95E-05
9.04,0.00050004,-1.08,-3.85E-05
9.02,0.00050004,-1.06,-3.73E-05
9,0.00050004,-1.04,-3.61E-05
8.98,0.0005,-1.02,-3.52E-05
8.96,0.0005,-1,-3.43E-05
8.94,0.00050004,-0.98,-3.30E-05
8.92,0.0005,-0.96,-3.18E-05
8.9,0.00049998,-0.94,-3.07E-05
8.88,0.00050002,-0.92,-3.00E-05
8.86,0.00050004,-0.9,-2.91E-05
8.84,0.00050002,-0.88,-2.80E-05
8.82,0.00050004,-0.86,-2.69E-05
8.8,0.00050004,-0.84,-2.57E-05
8.78,0.00050004,-0.82,-2.45E-05
8.76,0.0005,-0.8,-2.39E-05
8.74,0.00050002,-0.78,-2.28E-05
8.72,0.00050002,-0.76,-2.29E-05
8.7,0.00050004,-0.74,-2.11E-05
8.68,0.00050004,-0.72,-2.07E-05
8.66,0.00050002,-0.7,-1.95E-05
8.64,0.00050002,-0.68,-1.93E-05
8.62,0.00050002,-0.66,-1.74E-05
8.6,0.00050002,-0.64,-1.70E-05
8.58,0.0005,-0.62,-1.63E-05
8.56,0.0005,-0.6,-1.52E-05
8.54,0.00050004,-0.58,-1.40E-05
8.52,0.00050004,-0.56,-1.38E-05
8.5,0.00050002,-0.54,-1.30E-05
8.48,0.00050002,-0.52,-1.20E-05
8.46,0.00050002,-0.5,-1.14E-05
8.44,0.00050004,-0.48,-1.08E-05
8.42,0.00050002,-0.46,-1.02E-05
8.4,0.00050004,-0.44,-9.30E-06
8.38,0.00050006,-0.42,-8.70E-06
8.36,0.00050002,-0.4,-8.10E-06
8.34,0.00050002,-0.38,-7.57E-06
8.32,0.00050002,-0.36,-7.02E-06
8.3,0.0005,-0.34,-6.48E-06
8.28,0.00050002,-0.32,-6.01E-06
8.26,0.0005,-0.3,-5.49E-06
8.24,0.00050004,-0.28,-5.03E-06
8.22,0.00050002,-0.26,-4.56E-06
8.2,0.00050004,-0.24,-4.10E-06
8.18,0.00050004,-0.22,-3.68E-06
8.16,0.00050002,-0.2,-3.26E-06
8.14,0.0005,-0.18,-2.89E-06
8.12,0.00050002,-0.16,-2.47E-06
8.1,0.00050004,-0.14,-2.11E-06
8.08,0.0005,-0.12,-1.93E-06
8.06,0.00050004,-0.1,-1.52E-06
8.04,0.00050002,-0.08,-1.22E-06
8.02,0.00050002,-0.06,-8.20E-07
8,0.00050004,-0.04,-5.41E-07
7.98,0.00050002,-0.02,-2.63E-07
7.96,0.00050004,0,1.21E-08
7.94,0.0005,,
7.92,0.00050002,,
7.9,0.0005,,
7.88,0.00050004,,
7.86,0.0005,,
7.84,0.00050002,,
7.82,0.0005,,
7.8,0.00050002,,
7.78,0.0005,,
7.76,0.00050004,,
7.74,0.00050004,,
7.72,0.00050004,,
7.7,0.00050002,,
7.68,0.00050004,,
7.66,0.00050004,,
7.64,0.00050004,,
7.62,0.00050004,,
7.6,0.00050004,,
7.58,0.00050002,,
7.56,0.00050002,,
7.54,0.00050002,,
7.52,0.00050002,,
7.5,0.0005,,
7.48,0.00050004,,
7.46,0.00050004,,
7.44,0.00050004,,
7.42,0.0005,,
7.4,0.00050004,,
7.38,0.00050002,,
7.36,0.00050002,,
7.34,0.00050002,,
7.32,0.00050004,,
7.3,0.00050004,,
7.28,0.00050004,,
7.26,0.0005,,
7.24,0.00050002,,
7.22,0.0005,,
7.2,0.00050002,,
7.18,0.00050004,,
7.16,0.00050004,,
7.14,0.00050004,,
7.12,0.00050002,,
7.1,0.0005,,
7.08,0.00050002,,
7.06,0.00050006,,
7.04,0.00050004,,
7.02,0.00050004,,
7,0.00050004,,
6.98,0.00050002,,
6.96,0.00050004,,
6.94,0.0005,,
6.92,0.00050002,,
6.9,0.00050002,,
6.88,0.00050004,,
6.86,0.00050004,,
6.84,0.00050004,,
6.82,0.00050002,,
6.8,0.00050002,,
6.78,0.00050002,,
6.76,0.00050002,,
6.74,0.00050004,,
6.72,0.00050002,,
6.7,0.00050004,,
6.68,0.00050004,,
6.66,0.00050004,,
6.64,0.00050002,,
6.62,0.00050002,,
6.6,0.00050002,,
6.58,0.00050002,,
6.56,0.00050002,,
6.54,0.00050004,,
6.52,0.0005,,
6.5,0.0005,,
6.48,0.00050002,,
6.46,0.0005,,
6.44,0.00050004,,
6.42,0.00050002,,
6.4,0.00050004,,
6.38,0.0005,,
6.36,0.00050002,,
6.34,0.00050004,,
6.32,0.0005,,
6.3,0.00050006,,
6.28,0.00050004,,
6.26,0.0005,,
6.24,0.0005,,
6.22,0.0005,,
6.2,0.00050004,,
6.18,0.0005,,
6.16,0.00050004,,
6.14,0.00050002,,
6.12,0.00050004,,
6.1,0.00050004,,
6.08,0.00050004,,
6.06,0.00050002,,
6.04,0.00050004,,
6.02,0.00050004,,
