File Name,Corresponding Data Point,Maximum Subtraction
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_59_00 PM].csv",0.8,0.000476906
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_59_07 PM].csv",0.875,0.000484374
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_59_13 PM].csv",0.75,0.00047385
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_59_19 PM].csv",0.775,0.000482508
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_59_25 PM].csv",0.7,0.0004906055
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_00_59 PM].csv",1.475,0.000477068
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_05 PM].csv",0.95,0.00015219999999999999
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_11 PM].csv",0.775,0.000319624
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_18 PM].csv",0.625,0.000231628
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_24 PM].csv",0.8,0.00017416000000000003
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_30 PM].csv",0.95,0.00013351999999999998
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_36 PM].csv",0.9,0.00014894
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_43 PM].csv",0.925,0.00013040000000000003
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_49 PM].csv",0.9,0.00014054
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_01_55 PM].csv",0.8,0.000194
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_01 PM].csv",0.9,0.00015606000000000002
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_08 PM].csv",1.15,0.00014936000000000002
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_14 PM].csv",1.35,0.0001339
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_20 PM].csv",1.225,0.0001564
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_27 PM].csv",0.975,0.00021519400000000004
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_33 PM].csv",0.85,0.00014422800000000002
