condition,parameter,theta_point,bs_median,ci_lo,ci_hi,refined_inside_ci
S11,F_min_res,1341680886.589063,1434988350.409885,566519218.7798033,2952656222.874019,True
S11,Vel0_set,4.891522343153245,2.057705594486489,0.10804720746985362,19.01118340373983,True
S11,Vel0_res,3.2744741101138484,0.9729510031509114,0.10567250164746757,18.323617676883735,True
S11,gap_max_set,2.2052667368365964e-09,1.7543828187187804e-09,1.0579045108101333e-09,2.5291396045889045e-09,True
S11,gap_max_res,1.027877201629737e-09,1.671107320940529e-09,1.0283009935540213e-09,2.536635845192312e-09,False
S11,gap_ini_set,1.3248157860525693e-09,1.1668785085877132e-09,5.418407335620838e-10,2.1943646087024633e-09,True
S11,gap_ini_res,1.1759078698161694e-10,1.4177269088701416e-10,5.599742866422753e-11,2.4399440628916443e-10,True
S12,I0,0.0023102938339640616,0.004910632031354125,0.0003084037517504581,0.009675356440253352,True
S12,g0,2.790571717189483e-10,3.3322974344422164e-10,1.7076772863863185e-10,4.94450536519638e-10,True
S12,Rs,17.845338012405474,338.00053276959665,10.454613398908473,3175.17726541749,True
S12,V0_set,0.6245036556793784,1.037033423502011,0.06073692070425641,1.9071270602290369,True
S12,V0_res,1.217129604168349,1.0402204583058277,0.07521029868772611,1.8751066738068498,True
S12,gamma0_set,5.95175518803047,17.672498473752974,4.827827464380083,23.79375027664972,True
S12,Ea_set,0.8579871799334382,0.4181231726532414,0.10583587265155295,0.9778110998177388,True
S12,Ea_res,0.6793328521900688,0.6118044671240119,0.12089166028939743,0.9759220325312047,True
S12,F_min_set,916596633.9768237,1047781814.919301,514442239.1310132,2902385236.651216,True
S12,F_min_res,2075261216.5244153,1549337826.9662685,563543992.0369171,2964613064.296888,True
S12,Vel0_set,1.2166579241900697,2.235626718669569,0.10990164914214905,19.07804831197289,True
S12,Vel0_res,12.305310979710775,2.3249732918560633,0.11005397443993023,18.477100246694086,True
S12,gap_max_set,1.0991084319597009e-09,1.7326161909728086e-09,1.0183464526399494e-09,2.510319162965185e-09,True
S12,gap_max_res,1.0587374071107258e-09,1.595502632952194e-09,1.0255402162381628e-09,2.4604840566093243e-09,True
S12,gap_ini_set,9.293894166035802e-10,1.2343285635108612e-09,5.393447412047558e-10,2.2213669039925374e-09,True
S12,gap_ini_res,1.224658616257554e-10,1.512341813009873e-10,5.480463112507345e-11,2.4016002075707107e-10,True
