condition,device_id,total_cycles,good_cycles
S10,A8-01-4um-02,20,20
S10,A8-01-4um-03,20,20
S10,A8-01-4um-04,20,20
S10,A8-01-4um-05,19,19
S10,A8-01-4um-06,5,5
S10,A8-01-4um-07,7,7
S10,A8-01-4um-11,1,1
S10,B6-04-4um-02,20,20
S10,B6-04-4um-03,20,20
S10,B6-04-4um-04,4,4
S10,B6-04-4um-06,1,1
S10,D2-01-4um-01,1,1
S10,D2-01-4um-06,1,1
S11,A7-4-10um-01,1,1
S11,B6-01-4um-01,20,20
S11,B6-01-4um-02,100,100
S11,B6-01-4um-03,100,100
S11,B6-01-4um-04,20,20
S11,B6-01-4um-05,20,20
S11,B6-01-4um-06,20,20
S11,B6-01-4um-07,20,20
S11,B6-01-4um-08,20,20
S11,B6-01-4um-09,20,20
S11,B6-01-4um-10,20,20
S11,B6-01-4um-11,20,20
S11,B6-01-4um-12,20,20
S11,B6-02-4um-01,20,20
S11,B6-02-4um-02,20,20
S11,B6-02-4um-03,20,20
S11,B6-02-4um-04,20,20
S11,B6-02-4um-05,20,20
S11,B6-02-4um-06,20,20
S11,B6-02-4um-07,20,20
S11,B6-02-4um-08,20,20
S11,B6-02-4um-09,20,20
S11,B6-02-4um-10,20,20
S11,B6-02-4um-11,20,20
S11,B6-02-4um-12,20,20
S11,C3-2-4um-02,20,20
S11,C3-2-4um-03,20,20
S11,C3-2-4um-04,20,20
S11,C3-2-4um-05,20,20
S11,C3-2-4um-06,20,20
S11,C3-2-4um-07,20,20
S11,C3-2-4um-08,1,1
S11,C3-2-4um-09,20,20
S11,C3-2-4um-10,20,20
S11,C3-2-4um-11,20,20
S11,C3-2-4um-12,12,12
S11,D1-1-4um-10,20,20
S11,D1-1-4um-11,20,20
S11,D1-1-4um-12,20,20
S12,A8-02-4um-01,20,20
S12,A8-02-4um-02,20,20
